,portfolio_log_return,equity,drawdown,n_active
2026-04-03 04:00:00+00:00,-0.0036183348519535446,1.3962872924478962,-0.007186209004577893,5
2026-04-03 08:00:00+00:00,-0.0005715531950443511,1.3954894680059713,-0.00775349276703885,5
2026-04-03 12:00:00+00:00,-0.0016876640211127272,1.3931363368448921,-0.009426659228823908,5
2026-04-03 16:00:00+00:00,-0.0028700972261907257,1.389143632574345,-0.012265625023761495,5
2026-04-03 20:00:00+00:00,-0.002265174280656275,1.3860005413143792,-0.01450048339863097,5
2026-04-04 00:00:00+00:00,0.0003654015383704676,1.3865070805838358,-0.014140314560085243,5
2026-04-04 04:00:00+00:00,-0.0045616360340831885,1.3801967435962237,-0.018627206062296287,5
2026-04-04 08:00:00+00:00,0.0019639894665550686,1.3829100990910506,-0.01669790629017376,5
2026-04-04 12:00:00+00:00,-0.001041568420576957,1.3814704534781956,-0.017721549509100876,5
2026-04-04 16:00:00+00:00,-0.0017969625593881647,1.3789902318964566,-0.01948508213193101,5
2026-04-04 20:00:00+00:00,0.0018723298790680647,1.381574575127127,-0.017647515025252747,5
2026-04-05 00:00:00+00:00,-0.004970260243414761,1.374724826560599,-0.022517948838180812,5
2026-04-05 04:00:00+00:00,0.00022827072234869739,1.3750386718092666,-0.02229479283525726,5
2026-04-05 08:00:00+00:00,-0.0011441717215200655,1.3734662911532645,-0.023412815758202088,5
2026-04-05 12:00:00+00:00,0.006968403905466967,1.3830705834502801,-0.016583795758663533,5
2026-04-05 16:00:00+00:00,-0.0017698634121229074,1.380624902327424,-0.01832276879113448,5
2026-04-05 20:00:00+00:00,0.013141593662596486,1.3988882557373916,-0.005336824398952222,5
2026-04-06 00:00:00+00:00,0.0009059902939305595,1.4001562092094226,-0.004435260873894231,5
2026-04-06 04:00:00+00:00,0.0013872579630842049,1.4020999349730094,-0.0030531973441038085,5
2026-04-06 08:00:00+00:00,0.004868652688612053,1.4089429171258072,0.0,5
2026-04-06 12:00:00+00:00,0.004742371228518725,1.4156405161766699,0.0,5
2026-04-06 16:00:00+00:00,0.010507974827995158,1.4305944613278647,0.0,5
2026-04-06 20:00:00+00:00,-0.01880317841481998,1.4039460608912127,-0.01862750147370018,5
2026-04-07 00:00:00+00:00,0.004732680278670805,1.4106062365355132,-0.013971971325681398,5
2026-04-07 04:00:00+00:00,0.004288184695961197,1.41666816465559,-0.009734622248815605,5
2026-04-07 08:00:00+00:00,0.0052028427426524335,1.4240580739326076,-0.004569000909726784,5
2026-04-07 12:00:00+00:00,2.3296780458867904e-05,1.4240912502873664,-0.0045458103021467355,5
2026-04-07 16:00:00+00:00,0.008836447601878607,1.4367309206482786,0.0,5
2026-04-07 20:00:00+00:00,0.036096020618380006,1.489538528268388,0.0,5
2026-04-08 00:00:00+00:00,-0.010686514409035968,1.4737053049889122,-0.010629616474494341,5
2026-04-08 04:00:00+00:00,0.0021024606910600265,1.4768069718866872,-0.008547315923745469,5
2026-04-08 08:00:00+00:00,0.011723739649369578,1.4942225607775599,0.0,5
2026-04-08 12:00:00+00:00,-0.016662595042046646,1.4695312175482713,-0.016524541843645935,5
2026-04-08 16:00:00+00:00,-0.008723681265125727,1.4567672509329437,-0.02506675432950589,5
2026-04-08 20:00:00+00:00,-0.002108065009238602,1.4536995254830518,-0.027119812240969488,5
2026-04-09 00:00:00+00:00,0.002599692526771885,1.457483613877583,-0.024587332479345414,5
2026-04-09 04:00:00+00:00,0.008958021522081052,1.47059843719248,-0.015810311131151944,5
2026-04-09 08:00:00+00:00,0.00014406569455073406,1.470810315239552,-0.015668512946173663,5
2026-04-09 12:00:00+00:00,0.02549050377000528,1.5087839383758408,0.0,5
2026-04-09 16:00:00+00:00,0.013535622149836946,1.5293451078600357,0.0,5
2026-04-09 20:00:00+00:00,-0.007890401466748354,1.5173254433275354,-0.00785935396185311,5
2026-04-10 00:00:00+00:00,0.01241418789591503,1.53627921087973,0.0,5
2026-04-10 04:00:00+00:00,-0.008988497662319222,1.5225322436304325,-0.008948221880465068,5
2026-04-10 08:00:00+00:00,0.020904306184013004,1.5546947197354986,0.0,5
2026-04-10 12:00:00+00:00,-0.008502662911116638,1.541531714205187,-0.008466617505815566,5
2026-04-10 16:00:00+00:00,-0.011111467796232847,1.5244978451063507,-0.01942302514173666,5
2026-04-10 20:00:00+00:00,-0.0010477806387994264,1.5229013423187714,-0.020449916638384247,5
2026-04-11 00:00:00+00:00,-0.004704129106688271,1.5157542414102052,-0.025047025522745958,5
2026-04-11 04:00:00+00:00,-0.0029081153169076657,1.511352656544342,-0.02787818254025476,5
2026-04-11 08:00:00+00:00,0.006857237883316972,1.521751975789343,-0.02118920423924775,5
2026-04-11 12:00:00+00:00,0.0013053743022960061,1.5237397288116026,-0.0199106554688514,5
2026-04-11 16:00:00+00:00,0.014928230594112173,1.5466570991461597,-0.005169902802980131,5
2026-04-11 20:00:00+00:00,-0.009945229461165382,1.5313514745251895,-0.015014680962112226,5
2026-04-12 00:00:00+00:00,-0.02705345479739118,1.490478497098388,-0.041304715209964704,5
2026-04-12 04:00:00+00:00,0.005562587820600724,1.4987925169279823,-0.035957028796641755,5
2026-04-12 08:00:00+00:00,-0.00022282584366602006,1.4984585844266949,-0.03617181855378726,5
2026-04-12 12:00:00+00:00,-0.012762365221176495,1.479456224155804,-0.04839438548584951,5
2026-04-12 16:00:00+00:00,0.0029667499962815445,1.4838519181417786,-0.04556701755941672,5
2026-04-12 20:00:00+00:00,0.003175182397341889,1.4885709064922454,-0.042531702464714605,5
2026-04-13 00:00:00+00:00,0.006124054827683868,1.497714967124573,-0.03665012293900338,5
2026-04-13 04:00:00+00:00,-0.0006217284145766727,1.4967840845806248,-0.037248878779704175,5
2026-04-13 08:00:00+00:00,0.0034440237764787906,1.5019479316580715,-0.033927424727087874,5
